﻿Nature;Nom;Adresse;Elu;Maire;Nom_de_qua;Source;Date_d'exp;geo_shape;geo_point_2d
Centre municipal;Vauban;7b boulevard Vauban 97400 St Denis;Guillaume KICHENAMA;;VAUBAN;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.46447776698723, -20.887646722000056], ""type"": ""Point""}";-20.887646722000056, 55.46447776698723
Mairie annexe;Domenjod;10, rue impasse Florville 97490, Ste Clotilde;Alexendra CLAIN;;DOMENJOD;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.507587531648795, -20.915297061521024], ""type"": ""Point""}";-20.915297061521024, 55.507587531648795
Mairie annexe;Montgaillard;44,Boulevard de la Trinité 97400 St Denis;Brigitte ADAME;;MONTGAILLARD COLLINE DES CAMELIAS;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.466415075433844, -20.893381226082887], ""type"": ""Point""}";-20.893381226082887, 55.466415075433844
Mairie annexe;Sainte Clotilde;Place de la liberté 97400, St Denis;Gérard FRANCOISE;;BUTOR STE-CLOTILDE;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.479197786546756, -20.893125796271402], ""type"": ""Point""}";-20.893125796271402, 55.479197786546756
Mairie annexe;Bois de Nèfles;132, route des ananas 97490,Ste Clotilde;Audey BELIM;;BOIS DE NEFLES;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.47775299010062, -20.916458741071533], ""type"": ""Point""}";-20.916458741071533, 55.47775299010062
Mairie annexe;Brulé;Route des Bambous 97400 St Denis;David BELDA;;BRULE;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.434848755585215, -20.92258600326438], ""type"": ""Point""}";-20.92258600326438, 55.434848755585215
Mairie annexe;Providence;31, rue Jean Albany 97400 St Denis;Marie Annick ANDAMAYE;;CAMELIAS PROVIDENCE;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.45736036234268, -20.893058643356063], ""type"": ""Point""}";-20.893058643356063, 55.45736036234268
Ancien Hôtel de Ville;;2 Rue de Paris;;Ericka BAREIGTS;CENTRE-VILLE;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.448240879619824, -20.878833576744714], ""type"": ""Point""}";-20.878833576744714, 55.448240879619824
Centre municipal;La Source;52, rue du ruisseau des noirs 97400, St Denis;Jean-Max Boyer;;LA SOURCE;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.45205492120753, -20.890907246191286], ""type"": ""Point""}";-20.890907246191286, 55.45205492120753
Centre municipal;Moufia 2;28 D Route de Moufia 97490, Ste Clotilde;Jean-Claude LAKIA-SOUCALIE;;MOUFIA 2;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.49177596121766, -20.899994164170348], ""type"": ""Point""}";-20.899994164170348, 55.49177596121766
Mairie annexe;Bellepierre;38,allée des topazes 97400,St DenisSt Denis;David BELDA;;BELLEPIERRE;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.44631388867237, -20.896119236564804], ""type"": ""Point""}";-20.896119236564804, 55.44631388867237
Mairie annexe;Saint François;127, Route de St François 97400,St Denis;Geneviève BOMMALAIS;;SAINT-FRANCOIS;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.459203922575334, -20.916207913141697], ""type"": ""Point""}";-20.916207913141697, 55.459203922575334
Mairie annexe;Montagne 15ème;87 chemin du Père Raimbault 97417,La Montagne;Karel MAGAMOOTOO;;MONTAGNE 15ème;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.39950072136459, -20.90866022369375], ""type"": ""Point""}";-20.90866022369375, 55.39950072136459
Mairie annexe;Bretagne;5,chemin Bois Rouge 97490,Ste Clotilde;Virgile KICHENIN;;BRETAGNE;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.49333365038226, -20.91993755824666], ""type"": ""Point""}";-20.91993755824666, 55.49333365038226
Mairie annexe;Chaudron;1,rue Roger Payet 97490, Ste Coltilde;Monique ORPHE;;CHAUDRON;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.48751578876942, -20.89249939515765], ""type"": ""Point""}";-20.89249939515765, 55.48751578876942
Centre municipal;Petite-Ile;1,rue de Petite Ile 97400 St Denis;Marilyse ISIDORE;;PETITE ILE BAS DE LA RIVIERE;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.44220379409567, -20.880832144125833], ""type"": ""Point""}";-20.880832144125833, 55.44220379409567
Centre municipal;Prima;12, rue des lavandière 97490 Ste Clotilde;Sonia BARDINOT;;PRIMA;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.503087105098984, -20.89940434331161], ""type"": ""Point""}";-20.89940434331161, 55.503087105098984
Centre municipal;Marcadet;Ruelle Marcadet 97400 St Denis;Nouria RAHA;;MARCADET;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.46272252821154, -20.884335055034313], ""type"": ""Point""}";-20.884335055034313, 55.46272252821154
Centre municipal;Centre-Ville;51 bis rue Sainte Anne;Raihanah VALY;;CENTRE-VILLE;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.454226477659844, -20.88077155098653], ""type"": ""Point""}";-20.88077155098653, 55.454226477659844
Hôtel de Ville;;1, rue Pasteur 97400 St Denis;;Ericka BAREIGTS;CENTRE-VILLE;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.447706346966044, -20.879406053819228], ""type"": ""Point""}";-20.879406053819228, 55.447706346966044
Mairie annexe;Moufia;40, rue des Jacynthe 97490,Ste Clotilde;Fernande ANILAH;;MOUFIA;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.4816176341044, -20.910064918167006], ""type"": ""Point""}";-20.910064918167006, 55.4816176341044
Mairie annexe;Montagne 8ème;Route des Palmistes 97417, La Montagne;Jean François HOAREAU;;MONTAGNE 8ème;Direction Patrimoine Foncier / Plan & SIG - Mairie de Saint-Denis - 2023;06/11/2023;"{""coordinates"": [55.42314338733133, -20.88961395371331], ""type"": ""Point""}";-20.88961395371331, 55.42314338733133