Nom,Adresse,Code_Postal,Ville,Telephone,Latitude,Longitude
"Mairie Annexe de la Source","28 rue du Kovil",97490,"Saint-Denis",262301624,-20.901717,55.480489
"Mairie Annexe de Saint-François","Rue Roland-Hoarau",97490,"Saint-Denis",262301625,-20.912433,55.484463
"Mairie Annexe de la Bretagne","4 rue Frédéric Levavasseur",97490,"Saint-Denis",262301626,-20.894346,55.468384
"Mairie Annexe de la Montagne 8ème Km","Place d'Armes",97490,"Saint-Denis",262301627,-20.892788,55.432519
"Mairie Annexe de la Montagne 15ème Km","Rue Sainte-Cécile",97417,"Saint-Denis",262301628,-20.903783,55.418556
"Mairie Annexe de Saint-Bernard","65 chemin des Ecoliers",97417,"Saint-Denis",262301629,-20.903221,55.423083
"Mairie Annexe de Domenjod","Chemin Domenjod",97490,"Saint-Denis",262301630,-20.915701,55.473952
"Mairie Annexe du Brûlé","37 rue du Centre",97439,"Saint-Denis",262301631,-20.909522,55.444259
"Mairie Annexe du Chaudron","2 rue du Bois de Nèfles",97490,"Saint-Denis",262301632,-20.907973,55.487159
"Mairie Annexe du Moufia","Rue du Père Boiteau",97490,"Saint-Denis",262301633,-20.913417,55.475889
"Mairie Annexe du Bois de Nèfles","57 rue du Centre",97490,"Saint-Denis",262301634,-20.926358,55.468116
"Mairie Annexe de Sainte-Clotilde","28 rue de la République",97490,"Saint-Denis",262301635,-20.901717,55.480489
"Mairie Annexe de Saint-François","Rue Roland-Hoarau",97490,"Saint-Denis",262301636,-20.912433,55.484463
"Mairie Annexe de la Bretagne","4 rue Frédéric Levavasseur",97490,"Saint-Denis",262301637,-20.894346,55.468384
"Mairie Annexe de la Montagne 8ème Km","Place d'Armes",97490,"Saint-Denis",262301638,-20.892788,55.432519